辞書,文境界,書字形（＝表層形）,語彙素,語種,書字形(基本形),語形(基本形),語彙素ID
,I,の,の,和,の,ノ,28989
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,で,で,和,で,デ,25518
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,に,に,和,に,ニ,28178
,I,返り咲き,返り咲く,和,返り咲く,カエリザク,5972
,I,、,、,記号,、,,24
,I,グロ,グロ-grotesque,外,グロ,グロ,82869
,I,バー,バー-bar,外,バー,バー,30880
,I,・,・,記号,・,,44
,I,クリーブランド,クリーブランド-Cleveland,固,クリーブランド,クリーブランド,95387
,I,以来,以来,漢,以来,イライ,2538
,I,1,一,漢,1,イチ,2050
,I,3,三,漢,3,サン,14499
,I,2,二,漢,2,ニ,28181
,I,年,年,漢,年,ネン,28927
,I,ぶり,振り,和,ぶり,ブリ,33471
,I,の,の,和,の,ノ,28989
,I,任期,任期,漢,任期,ニンキ,28637
,I,を,を,和,を,ヲ,41407
,I,連続,連続,漢,連続,レンゾク,40794
,I,し,為る,和,する,スル,19537
,I,ない,ない,和,ない,ナイ,27438
,I,再選,再選,漢,再選,サイセン,13755
,I,を,を,和,を,ヲ,41407
,I,果たし,果たす,和,果たす,ハタス,29777
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,5,五,漢,5,ゴ,13327
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,共和,共和,漢,共和,キョウワ,9351
,I,党,党,漢,党,トウ,25857
,I,の,の,和,の,ノ,28989
,I,保守,保守,漢,保守,ホシュ,34674
,I,強硬,強硬,漢,強硬,キョウコウ,9207
,I,派,派,漢,派,ハ,29329
,I,の,の,和,の,ノ,28989
,I,中心,中心,漢,中心,チュウシン,23828
,I,人物,人物,漢,人物,ジンブツ,18820
,I,で,だ,和,だ,ダ,22916
,I,ある,有る,和,ある,アル,1216
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,来歴,来歴,漢,来歴,ライレキ,39645
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,4,四,和,4,ヨン,39551
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,6,六,漢,6,ロク,40932
,I,月,月,漢,月,ガツ,8121
,I,1,一,漢,1,イチ,2050
,I,4,四,和,4,ヨン,39551
,I,日,日,和,日,カ,5582
,I,、,、,記号,、,,24
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,州,州,漢,州,シュウ,16041
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,市,市,漢,市,シ,14936
,I,クイーンズ,クイーン-queen,外,クイーンズ,クイーンズ,43926
,I,区,区,漢,区,ク,9997
,I,で,で,和,で,デ,25518
,I,生まれ,生まれる,和,生まれる,ウマレル,3379
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,ペンシルベニア,ペンシルベニア,固,ペンシルベニア,ペンシルベニア,34344
,I,大学,大学,漢,大学,ダイガク,22965
,I,ウォートン,ウォートン,固,ウォートン,ウォートン,101497
,I,・,・,記号,・,,44
,I,スクール,スクール-school,外,スクール,スクール,19133
,I,で,で,和,で,デ,25518
,I,[,［,記号,[,,58
,I,7,七,和,7,ナナ,27908
,I,],］,記号,],,59
,I,経済,経済,漢,経済,ケイザイ,10945
,I,学,学,漢,学,ガク,7998
,I,の,の,和,の,ノ,28989
,I,学士,学士,漢,学士,ガクシ,8011
,I,号,号,漢,号,ゴウ,13340
,I,を,を,和,を,ヲ,41407
,I,取得,取得,漢,取得,シュトク,16419
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,後,後,和,後,アト,856
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,7,七,和,7,ナナ,27908
,I,1,一,漢,1,イチ,2050
,I,年,年,漢,年,ネン,28927
,I,に,に,和,に,ニ,28178
,I,父親,父親,和,父親,チチオヤ,23555
,I,の,の,和,の,ノ,28989
,I,不,不,漢,不,フ,32288
,I,動産,動産,漢,動産,ドウサン,27054
,I,事業,事業,漢,事業,ジギョウ,17803
,I,を,を,和,を,ヲ,41407
,I,引き継い,引き継ぐ,和,引き継ぐ,ヒキツグ,31239
,I,で,て,和,で,デ,24874
,I,社名,社名,漢,社名,シャメイ,15984
,I,を,を,和,を,ヲ,41407
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,・,・,記号,・,,44
,I,オーガナイゼーション,オーガニゼーション-organization,外,オーガナイゼーション,オーガナイゼーション,42012
,I,と,と,和,と,ト,25826
,I,改名,改名,漢,改名,カイメイ,5910
,I,し,為る,和,する,スル,19537
,I,、,、,記号,、,,24
,I,クイーンズ,クイーン-queen,外,クイーンズ,クイーンズ,43926
,I,と,と,和,と,ト,25826
,I,ブルックリン,ブルックリン-Brooklyn,固,ブルックリン,ブルックリン,33504
,I,から,から,和,から,カラ,7219
,I,マンハッタン,マンハッタン-Manhattan,固,マンハッタン,マンハッタン,36177
,I,へ,へ,和,へ,ヘ,33819
,I,事業,事業,漢,事業,ジギョウ,17803
,I,を,を,和,を,ヲ,41407
,I,拡大,拡大,漢,拡大,カクダイ,6199
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,同社,同社,漢,同社,ドウシャ,27069
,I,は,は,和,は,ハ,29321
,I,高層,高層,漢,高層,コウソウ,12190
,I,ビル,ビル-building,外,ビル,ビル,32120
,I,、,、,記号,、,,24
,I,ホテル,ホテル-hotel,外,ホテル,ホテル,34761
,I,、,、,記号,、,,24
,I,カジノ,カジノ-casino,外,カジノ,カジノ,6472
,I,、,、,記号,、,,24
,I,ゴルフ,ゴルフ-golf,外,ゴルフ,ゴルフ,13581
,I,コース,コース-course,外,コース,コース,13299
,I,など,など,和,など,ナド,27905
,I,の,の,和,の,ノ,28989
,I,建設,建設,漢,建設,ケンセツ,11373
,I,・,・,記号,・,,44
,I,改装,改装,漢,改装,カイソウ,5803
,I,を,を,和,を,ヲ,41407
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,その,其の,和,その,ソノ,21394
,I,後,後,漢,後,ゴ,13329
,I,、,、,記号,、,,24
,I,主に,主に,和,主に,オモニ,5276
,I,彼,彼,和,彼,カレ,7330
,I,の,の,和,の,ノ,28989
,I,名前,名前,和,名前,ナマエ,27957
,I,を,を,和,を,ヲ,41407
,I,ライセンス,ライセンス-license,外,ライセンス,ライセンス,39611
,I,する,為る,和,する,スル,19537
,I,こと,事,和,こと,コト,12836
,I,に,に,和,に,ニ,28178
,I,よっ,因る,和,よる,ヨル,39521
,I,て,て,和,て,テ,24874
,I,様々,様々,和,様々,サマザマ,14376
,I,な,だ,和,だ,ダ,22916
,I,サイドベンチャー,,,,,　
,I,を,を,和,を,ヲ,41407
,I,開始,開始,漢,開始,カイシ,5736
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,9,九,漢,9,キュウ,8929
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,に,に,和,に,ニ,28178
,I,ミス,ミス-mistake,外,ミス,ミス,36394
,I,・,・,記号,・,,44
,I,コンテスト,コンテスト-contest,外,コンテスト,コンテスト,13220
,I,の,の,和,の,ノ,28989
,I,ミス,ミス-mistake,外,ミス,ミス,36394
,I,・,・,記号,・,,44
,I,ユニバース,ユニバース,外,ユニバース,ユニバース,44990
,I,・,・,記号,・,,44
,I,ブランド,ブランド-brand,外,ブランド,ブランド,33468
,I,を,を,和,を,ヲ,41407
,I,購入,購入,漢,購入,コウニュウ,12298
,I,し,為る,和,する,スル,19537
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,5,五,漢,5,ゴ,13327
,I,年,年,漢,年,ネン,28927
,I,に,に,和,に,ニ,28178
,I,売却,売却,漢,売却,バイキャク,30531
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,から,から,和,から,カラ,7219
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,5,五,漢,5,ゴ,13327
,I,年,年,漢,年,ネン,28927
,I,6,六,漢,6,ロク,40932
,I,月,月,漢,月,ガツ,8121
,I,まで,まで,和,まで,マデ,35891
,I,リアリティ,リアリティー-reality,外,リアリティ,リアリティ,39876
,I,番組,番組,混,番組,バングミ,30816
,I,『,『,記号,『,,35
,I,アプレンティス,アプレンティス-apprentice,外,アプレンティス,アプレンティス,272636
,I,』,』,記号,』,,36
,I,を,を,和,を,ヲ,41407
,I,プロデュース,プロデュース-produce,外,プロデュース,プロデュース,33787
,I,し,為る,和,する,スル,19537
,I,、,、,記号,、,,24
,I,司会,司会,漢,司会,シカイ,15052
,I,を,を,和,を,ヲ,41407
,I,務め,勤める,和,務める,ツトメル,24663
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,年,年,漢,年,ネン,28927
,I,8,八,漢,8,ハチ,29802
,I,月,月,漢,月,ガツ,8121
,I,に,に,和,に,ニ,28178
,I,『,『,記号,『,,35
,I,フォーブス,フォーブス-Forbes,固,フォーブス,フォーブス,140554
,I,』,』,記号,』,,36
,I,は,は,和,は,ハ,29321
,I,彼,彼,和,彼,カレ,7330
,I,の,の,和,の,ノ,28989
,I,純,純,漢,純,ジュン,18374
,I,資産,資産,漢,資産,シサン,15263
,I,を,を,和,を,ヲ,41407
,I,2,二,漢,2,ニ,28181
,I,1,一,漢,1,イチ,2050
,I,億,億,漢,億,オク,4808
,I,ドル,ドル-dollar,外,ドル,ドル,27370
,I,と,と,和,と,ト,25826
,I,推定,推定,漢,推定,スイテイ,18949
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,[,［,記号,[,,58
,I,8,八,漢,8,ハチ,29802
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,共和,共和,漢,共和,キョウワ,9351
,I,党,党,漢,党,トウ,25857
,I,員,員,漢,員,イン,2703
,I,と,と,和,と,ト,25826
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,に,に,和,に,ニ,28178
,I,名乗り,名乗り,和,名乗り,ナノリ,27939
,I,を,を,和,を,ヲ,41407
,I,上げ,上げる,和,上げる,アゲル,524
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,6,六,漢,6,ロク,40932
,I,人,人,漢,人,ニン,28632
,I,の,の,和,の,ノ,28989
,I,他,他,和,他,ホカ,34603
,I,の,の,和,の,ノ,28989
,I,候補,候補,漢,候補,コウホ,12364
,I,者,者,漢,者,シャ,15852
,I,を,を,和,を,ヲ,41407
,I,予備,予備,漢,予備,ヨビ,39434
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,で,で,和,で,デ,25518
,I,破っ,破る,和,破る,ヤブル,38404
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,彼,彼,和,彼,カレ,7330
,I,の,の,和,の,ノ,28989
,I,政治,政治,漢,政治,セイジ,19845
,I,的,的,漢,的,テキ,25076
,I,立場,立場,和,立場,タチバ,22408
,I,は,は,和,は,ハ,29321
,I,ポピュリスト,ポピュリスト-populist,外,ポピュリスト,ポピュリスト,165017
,I,、,、,記号,、,,24
,I,保護,保護,漢,保護,ホゴ,34658
,I,主義,主義,漢,主義,シュギ,16246
,I,者,者,漢,者,シャ,15852
,I,、,、,記号,、,,24
,I,ナショナリスト,ナショナリスト-nationalist,外,ナショナリスト,ナショナリスト,134029
,I,と,と,和,と,ト,25826
,I,表現,表現,漢,表現,ヒョウゲン,31735
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,て,て,和,て,テ,24874
,I,き,来る,和,くる,クル,10518
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,民主,民主,漢,民主,ミンシュ,36952
,I,党,党,漢,党,トウ,25857
,I,候補,候補,漢,候補,コウホ,12364
,I,の,の,和,の,ノ,28989
,I,ヒラリー,ヒラリー-Hillary,固,ヒラリー,ヒラリー,31842
,I,・,・,記号,・,,44
,I,クリントン,クリントン-Clinton,固,クリントン,クリントン,10509
,I,を,を,和,を,ヲ,41407
,I,破っ,破る,和,破る,ヤブル,38404
,I,て,て,和,て,テ,24874
,I,当選,当選,漢,当選,トウセン,26037
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,が,が,和,が,ガ,7888
,I,、,、,記号,、,,24
,I,一般,一般,漢,一般,イッパン,2255
,I,投票,投票,漢,投票,トウヒョウ,26119
,I,数,数,漢,数,スウ,18996
,I,で,で,和,で,デ,25518
,I,は,は,和,は,ハ,29321
,I,敗北,敗北,漢,敗北,ハイボク,29473
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,注釈,注釈,漢,注釈,チュウシャク,23818
,I, 1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,軍,軍,漢,軍,グン,10829
,I,や,や,和,や,ヤ,38083
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,連邦,連邦,漢,連邦,レンポウ,40823
,I,政府,政府,漢,政府,セイフ,19974
,I,の,の,和,の,ノ,28989
,I,役職,役職,漢,役職,ヤクショク,38174
,I,に,に,和,に,ニ,28178
,I,就い,付く,和,就く,ツク,24534
,I,た,た,和,た,タ,21642
,I,こと,事,和,こと,コト,12836
,I,の,の,和,の,ノ,28989
,I,無い,無い,和,無い,ナイ,27442
,I,初,初,和,初,ハツ,29902
,I,の,の,和,の,ノ,28989
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,と,と,和,と,ト,25826
,I,なっ,成る,和,なる,ナル,28061
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,7,七,和,7,ナナ,27908
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,より,より,和,より,ヨリ,39502
,I,厳格,厳格,漢,厳格,ゲンカク,11635
,I,な,だ,和,だ,ダ,22916
,I,移民,移民,漢,移民,イミン,2498
,I,政策,政策,漢,政策,セイサク,19796
,I,を,を,和,を,ヲ,41407
,I,提唱,提唱,漢,提唱,テイショウ,24985
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,[,［,記号,[,,58
,I,9,九,漢,9,キュウ,8929
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,様々,様々,和,様々,サマザマ,14376
,I,な,だ,和,だ,ダ,22916
,I,国,国,和,国,クニ,10282
,I,へ,へ,和,へ,ヘ,33819
,I,の,の,和,の,ノ,28989
,I,渡航,渡航,漢,渡航,トコウ,26365
,I,禁止,禁止,漢,禁止,キンシ,9646
,I,令,令,漢,令,レイ,40554
,I,を,を,和,を,ヲ,41407
,I,課す,課する,混,課す,カス,6515
,I,・,・,記号,・,,44
,I,移民,移民,漢,移民,イミン,2498
,I,法,法,漢,法,ホウ,34380
,I,の,の,和,の,ノ,28989
,I,執行,執行,漢,執行,シッコウ,15494
,I,強化,強化,漢,強化,キョウカ,9167
,I,に,に,和,に,ニ,28178
,I,より,因る,和,よる,ヨル,39521
,I,、,、,記号,、,,24
,I,移民,移民,漢,移民,イミン,2498
,I,の,の,和,の,ノ,28989
,I,拘留,拘留,漢,拘留,コウリュウ,12434
,I,・,・,記号,・,,44
,I,家族,家族,漢,家族,カゾク,6591
,I,分離,分離,漢,分離,ブンリ,33656
,I,を,を,和,を,ヲ,41407
,I,増加,増加,漢,増加,ゾウカ,21542
,I,さ,為る,和,する,スル,19537
,I,せ,せる,和,せる,セル,20355
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,また,又,和,また,マタ,35734
,I,、,、,記号,、,,24
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,と,と,和,と,ト,25826
,I,の,の,和,の,ノ,28989
,I,国境,国境,漢,国境,コッキョウ,12788
,I,に,に,和,に,ニ,28178
,I,「,「,記号,「,,33
,I,壁,壁,和,壁,カベ,7035
,I,を,を,和,を,ヲ,41407
,I,作る,作る,和,作る,ツクル,24562
,I,」,」,記号,」,,34
,I,こと,事,和,こと,コト,12836
,I,を,を,和,を,ヲ,41407
,I,誓っ,誓う,和,誓う,チカウ,23427
,I,た,た,和,た,タ,21642
,I,が,が,和,が,ガ,7888
,I,、,、,記号,、,,24
,I,これ,此れ,和,これ,コレ,13095
,I,まで,まで,和,まで,マデ,35891
,I,の,の,和,の,ノ,28989
,I,ところ,所,和,ところ,トコロ,26373
,I,既存,既存,漢,既存,キソン,8582
,I,の,の,和,の,ノ,28989
,I,フェンス,フェンス-fence,外,フェンス,フェンス,32468
,I,の,の,和,の,ノ,28989
,I,改修,改修,漢,改修,カイシュウ,5743
,I,に,に,和,に,ニ,28178
,I,とどまっ,留まる,和,とどまる,トドマル,26516
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
,I,1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,個人,個人,漢,個人,コジン,12710
,I,と,と,和,と,ト,25826
,I,企業,企業,漢,企業,キギョウ,8392
,I,の,の,和,の,ノ,28989
,I,ため,為,和,ため,タメ,22686
,I,の,の,和,の,ノ,28989
,I,減税,減税,漢,減税,ゲンゼイ,11707
,I,パッケージ,パッケージ-package,外,パッケージ,パッケージ,30973
,I,を,を,和,を,ヲ,41407
,I,制定,制定,漢,制定,セイテイ,19920
,I,し,為る,和,する,スル,19537
,I,、,、,記号,、,,24
,I,個人,個人,漢,個人,コジン,12710
,I,の,の,和,の,ノ,28989
,I,健康,健康,漢,健康,ケンコウ,11312
,I,保険,保険,漢,保険,ホケン,34644
,I,の,の,和,の,ノ,28989
,I,義務,義務,漢,義務,ギム,9836
,I,化,化,漢,化,カ,5577
,I,の,の,和,の,ノ,28989
,I,ペナルティ,ペナルティー-penalty,外,ペナルティ,ペナルティ,34318
,I,を,を,和,を,ヲ,41407
,I,撤回,撤回,漢,撤回,テッカイ,25157
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
,I,2,二,漢,2,ニ,28181
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,最高,最高,漢,最高,サイコウ,13703
,I,裁判,裁判,漢,裁判,サイバン,13810
,I,所,所,漢,所,ショ,16523
,I,判事,判事,漢,判事,ハンジ,30375
,I,に,に,和,に,ニ,28178
,I,は,は,和,は,ハ,29321
,I,ニール,ニール-Neill,固,ニール,ニール,28678
,I,・,・,記号,・,,44
,I,ゴー,ゴー-外国,固,ゴー,ゴー,137997
,I,サッチ,三進,漢,サッチ,サッチ,45339
,I,と,と,和,と,ト,25826
,I,ブレット,ブレット-外国,固,ブレット,ブレット,144332
,I,・,・,記号,・,,44
,I,カバ,河馬,漢,カバ,カバ,6976
,I,ノー,ノー-no,外,ノー,ノー,29307
,I,、,、,記号,、,,24
,I,エイミー,エイミー-Amy,固,エイミー,エイミー,160570
,I,・,・,記号,・,,44
,I,コニー,コニー,固,コニー,コニー,45788
,I,・,・,記号,・,,44
,I,バレット,バレット-barret,外,バレット,バレット,30784
,I,を,を,和,を,ヲ,41407
,I,任命,任命,漢,任命,ニンメイ,28670
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,1,一,漢,1,イチ,2050
