辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,語形(基本形),語彙素ID
,I,その,其の,ソノ,連体詞,ソノ,21394
,I,数多,数多,スウタ,名詞-普通名詞-一般,スウタ,56171
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,「,「,,補助記号-括弧開,,33
,I,スポーツ,スポーツ-sport,スポーツ,名詞-普通名詞-サ変可能,スポーツ,19429
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,関する,関する,カンスル,動詞-一般,カンスル,7663
,I,記事,記事,キジ,名詞-普通名詞-一般,キジ,8517
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,読み,読む,ヨム,動詞-一般,ヨム,39484
,I,たい,たい,タイ,助動詞,タイ,21652
,I,」,」,,補助記号-括弧閉,,34
,I,と,と,ト,助詞-格助詞,ト,25826
,I,思っ,思う,オモウ,動詞-一般,オモウ,5255
,I,た,た,タ,助動詞,タ,21642
,I,時,時,トキ,名詞-普通名詞-副詞可能,トキ,26231
,I,，,，,,補助記号-読点,,50
,I,どれ,何れ,ドレ,代名詞,ドレ,27373
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,スポーツ,スポーツ-sport,スポーツ,名詞-普通名詞-サ変可能,スポーツ,19429
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,関する,関する,カンスル,動詞-一般,カンスル,7663
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,な,だ,ダ,助動詞,ダ,22916
,I,の,の,ノ,助詞-準体助詞,ノ,28990
,I,か,か,カ,助詞-副助詞,カ,5568
,I,判断,判断,ハンダン,名詞-普通名詞-サ変可能,ハンダン,30405
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,必要,必要,ヒツヨウ,名詞-普通名詞-形状詞可能,ヒツヨウ,31473
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,だろう,だ,ダ,助動詞,ダ,22916
,I,．,．,,補助記号-句点,,51
,I,しかし,然し,シカシ,接続詞,シカシ,15066
,I,，,，,,補助記号-読点,,50
,I,すべて,全て,スベテ,名詞-普通名詞-副詞可能,スベテ,19398
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,目,目,メ,名詞-普通名詞-一般,メ,37241
,I,で,で,デ,助詞-格助詞,デ,25518
,I,読ん,読む,ヨム,動詞-一般,ヨム,39484
,I,で,て,テ,助詞-接続助詞,デ,24874
,I,判断,判断,ハンダン,名詞-普通名詞-サ変可能,ハンダン,30405
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,こと,事,コト,名詞-普通名詞-一般,コト,12836
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,到底,到底,トウテイ,副詞,トウテイ,26071
,I,不,不,フ,接頭辞,フ,32288
,I,可能,可能,カノウ,形状詞-一般,カノウ,6969
,I,で,だ,ダ,助動詞,ダ,22916
,I,あり,有る,アル,動詞-非自立可能,アル,1216
,I,，,，,,補助記号-読点,,50
,I,現実,現実,ゲンジツ,名詞-普通名詞-一般,ゲンジツ,11688
,I,的,的,テキ,接尾辞-形状詞的,テキ,25076
,I,で,だ,ダ,助動詞,ダ,22916
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,ない,無い,ナイ,形容詞-非自立可能,ナイ,27442
,I,．,．,,補助記号-句点,,51
,I,今回,今回,コンカイ,名詞-普通名詞-副詞可能,コンカイ,13150
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,，,，,,補助記号-読点,,50
,I,数多,数多,スウタ,名詞-普通名詞-一般,スウタ,56171
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,含ま,含む,フクム,動詞-一般,フクム,32685
,I,れる,れる,レル,助動詞,レル,40741
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,重要,重要,ジュウヨウ,形状詞-一般,ジュウヨウ,18245
,I,度,度,ド,名詞-普通名詞-助数詞可能,ド,26947
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,測る,測る,ハカル,動詞-一般,ハカル,29532
,I,手法,手法,シュホウ,名詞-普通名詞-一般,シュホウ,16444
,I,で,だ,ダ,助動詞,ダ,22916
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,と,と,ト,助詞-格助詞,ト,25826
,I,O,Ｏ,オー,記号-文字,オー,5486
,I,k,Ｋ,ケー,記号-文字,ケー,11455
,I,a,Ａ,エー,記号-文字,エー,4296
,I,p,Ｐ,ピー,記号-文字,ピー,32239
,I,i,Ｉ,アイ,記号-文字,アイ,81
,I, B,Ｂ,ビー,記号-文字,ビー,32144
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,つい,つく,ツク,動詞-一般,ツク,24536
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,解説,解説,カイセツ,名詞-普通名詞-サ変可能,カイセツ,5787
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,．,．,,補助記号-句点,,51
,B,:n:目次,目次,モクジ,名詞-普通名詞-一般,モクジ,37663
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,B,O,Ｏ,オー,記号-文字,オー,5486
,I,k,Ｋ,ケー,記号-文字,ケー,11455
,I,a,Ａ,エー,記号-文字,エー,4296
,I,p,Ｐ,ピー,記号-文字,ピー,32239
,I,i,Ｉ,アイ,記号-文字,アイ,81
,I, B,Ｂ,ビー,記号-文字,ビー,32144
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,B,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,および,及び,オヨビ,接続詞,オヨビ,5315
,I,O,Ｏ,オー,記号-文字,オー,5486
,I,k,Ｋ,ケー,記号-文字,ケー,11455
,I,a,Ａ,エー,記号-文字,エー,4296
,I,p,Ｐ,ピー,記号-文字,ピー,32239
,I,i,Ｉ,アイ,記号-文字,アイ,81
,I, B,Ｂ,ビー,記号-文字,ビー,32144
,I,M,Ｍ,エム,記号-文字,エム,4042
,I,2,二,ニ,名詞-数詞,ニ,28181
,I,5,五,ゴ,名詞-数詞,ゴ,13327
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,応用,応用,オウヨウ,名詞-普通名詞-サ変可能,オウヨウ,4497
,I,可能,可能,カノウ,形状詞-一般,カノウ,6969
,I,性,性,セイ,接尾辞-名詞的-一般,セイ,19682
,B,参考,参考,サンコウ,名詞-普通名詞-サ変可能,サンコウ,14560
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,-,,,名詞,,　
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,と,と,ト,助詞-格助詞,ト,25826
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,，,，,,補助記号-読点,,50
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,内,内,ナイ,接尾辞-名詞的-一般,ナイ,27441
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,つい,つく,ツク,動詞-一般,ツク,24536
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,，,，,,補助記号-読点,,50
,I,以下,以下,イカ,名詞-普通名詞-一般,イカ,1611
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,２,二,フタ,名詞-数詞,フタ,32850
,I,つ,つ,ツ,接尾辞-名詞的-助数詞,ツ,24322
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,情報,情報,ジョウホウ,名詞-普通名詞-一般,ジョウホウ,18630
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,，,，,,補助記号-読点,,50
,I,その,其の,ソノ,連体詞,ソノ,21394
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,重要,重要,ジュウヨウ,形状詞-一般,ジュウヨウ,18245
,I,度,度,ド,名詞-普通名詞-助数詞可能,ド,26947
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,算出,算出,サンシュツ,名詞-普通名詞-サ変可能,サンシュツ,14579
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,手法,手法,シュホウ,名詞-普通名詞-一般,シュホウ,16444
,I,で,だ,ダ,助動詞,ダ,22916
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,．,．,,補助記号-句点,,51
,B,　,　,,空白,,23
,I,・,・,,補助記号-一般,,44
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,頻度,頻度,ヒンド,名詞-普通名詞-一般,ヒンド,31957
,I,(,（,,補助記号-括弧開,,46
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,),）,,補助記号-括弧閉,,49
,B,　,　,,空白,,23
,I,・,・,,補助記号-一般,,44
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,逆,逆,ギャク,名詞-普通名詞-形状詞可能,ギャク,9839
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,頻度,頻度,ヒンド,名詞-普通名詞-一般,ヒンド,31957
,I,(,（,,補助記号-括弧開,,46
,I,I,Ｉ,アイ,記号-文字,アイ,81
,I,D,Ｄ,ディー,記号-文字,ディー,25577
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,),）,,補助記号-括弧閉,,49
,B,それぞれ,其々,ソレゾレ,名詞-普通名詞-副詞可能,ソレゾレ,21463
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,つい,つく,ツク,動詞-一般,ツク,24536
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,，,，,,補助記号-読点,,50
,I,その,其の,ソノ,連体詞,ソノ,21394
,I,値,値,アタイ,名詞-普通名詞-サ変可能,アタイ,724
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,表す,表わす,アラワス,動詞-一般,アラワス,1169
,I,意味,意味,イミ,名詞-普通名詞-サ変可能,イミ,2492
,I,と,と,ト,助詞-格助詞,ト,25826
,I,計算,計算,ケイサン,名詞-普通名詞-サ変可能,ケイサン,10944
,I,式,式,シキ,名詞-普通名詞-一般,シキ,15098
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,確認,確認,カクニン,名詞-普通名詞-サ変可能,カクニン,6217
,I,しよう,為る,スル,動詞-非自立可能,スル,19537
,I,．,．,,補助記号-句点,,51
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,(,（,,補助記号-括弧開,,46
,I,Term,,,名詞,,　
,I,Frequency,,,名詞,,　
,I,),）,,補助記号-括弧閉,,49
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,意味,意味,イミ,名詞-普通名詞-サ変可能,イミ,2492
,I,と,と,ト,助詞-格助詞,ト,25826
,I,計算,計算,ケイサン,名詞-普通名詞-サ変可能,ケイサン,10944
,I,式,式,シキ,名詞-普通名詞-一般,シキ,15098
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,意味,意味,イミ,名詞-普通名詞-サ変可能,イミ,2492
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,内,内,ナイ,接尾辞-名詞的-一般,ナイ,27441
,I,で,で,デ,助詞-格助詞,デ,25518
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,頻度,頻度,ヒンド,名詞-普通名詞-一般,ヒンド,31957
,I,で,だ,ダ,助動詞,ダ,22916
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,．,．,,補助記号-句点,,51
,I,すなわち,即ち,スナワチ,接続詞,スナワチ,19343
,I,，,，,,補助記号-読点,,50
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,内,内,ナイ,接尾辞-名詞的-一般,ナイ,27441
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,すべて,全て,スベテ,名詞-普通名詞-副詞可能,スベテ,19398
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,回数,回数,カイスウ,名詞-普通名詞-一般,カイスウ,5773
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,うち,内,ウチ,名詞-普通名詞-副詞可能,ウチ,3206
,I,，,，,,補助記号-読点,,50
,I,その,其の,ソノ,連体詞,ソノ,21394
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,回数,回数,カイスウ,名詞-普通名詞-一般,カイスウ,5773
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,占める,占める,シメル,動詞-一般,シメル,15797
,I,割合,割合,ワリアイ,名詞-普通名詞-一般,ワリアイ,41347
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,表す,表わす,アラワス,動詞-一般,アラワス,1169
,I,．,．,,補助記号-句点,,51
,I,この,此の,コノ,連体詞,コノ,12905
,I,式,式,シキ,名詞-普通名詞-一般,シキ,15098
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,，,，,,補助記号-読点,,50
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,回数,回数,カイスウ,名詞-普通名詞-一般,カイスウ,5773
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,多い,多い,オオイ,形容詞-一般,オオイ,4515
,I,ほど,ほど,ホド,助詞-副助詞,ホド,34770
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,大きく,大きい,オオキイ,形容詞-一般,オオキイ,4563
,I,なり,成る,ナル,動詞-非自立可能,ナル,28061
,I,，,，,,補助記号-読点,,50
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,回数,回数,カイスウ,名詞-普通名詞-一般,カイスウ,5773
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,低い,低い,ヒクイ,形容詞-一般,ヒクイ,31272
,I,ほど,ほど,ホド,助詞-副助詞,ホド,34770
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,小さく,小さい,チイサイ,形容詞-一般,チイサイ,23399
,I,なる,成る,ナル,動詞-非自立可能,ナル,28061
,I,こと,事,コト,名詞-普通名詞-一般,コト,12836
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,わかる,分かる,ワカル,動詞-一般,ワカル,41180
,I,だろう,だ,ダ,助動詞,ダ,22916
,I,．,．,,補助記号-句点,,51
,B,:n:T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,計算,計算,ケイサン,名詞-普通名詞-サ変可能,ケイサン,10944
,I,式,式,シキ,名詞-普通名詞-一般,シキ,15098
,B,:n:ある,或る,アル,連体詞,アル,1215
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,d,Ｄ,ディー,記号-文字,ディー,25577
,I,j,Ｊ,ジェー,記号-文字,ジェー,17726
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,t,Ｔ,ティー,記号-文字,ティー,24900
,I,i,Ｉ,アイ,記号-文字,アイ,81
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,つい,つく,ツク,動詞-一般,ツク,24536
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,考える,考える,カンガエル,動詞-一般,カンガエル,7514
,I,場合,場合,バアイ,名詞-普通名詞-副詞可能,バアイ,30510
,I,，,，,,補助記号-読点,,50
,I,出現,出現,シュツゲン,名詞-普通名詞-サ変可能,シュツゲン,16396
,I,回数,回数,カイスウ,名詞-普通名詞-一般,カイスウ,5773
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,I,表す,表わす,アラワス,動詞-一般,アラワス,1169
,I,関数,関数,カンスウ,名詞-普通名詞-一般,カンスウ,7661
,I,を,を,ヲ,助詞-格助詞,ヲ,41407
,B,f,,,名詞,,　
,B,と,と,ト,助詞-格助詞,ト,25826
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,と,と,ト,助詞-接続助詞,ト,25825
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,以下,以下,イカ,名詞-普通名詞-一般,イカ,1611
,I,の,の,ノ,助詞-格助詞,ノ,28989
,I,式,式,シキ,名詞-普通名詞-一般,シキ,15098
,I,から,から,カラ,助詞-格助詞,カラ,7219
,I,算出,算出,サンシュツ,名詞-普通名詞-サ変可能,サンシュツ,14579
,I,できる,出来る,デキル,動詞-非自立可能,デキル,25624
,I,．,．,,補助記号-句点,,51
,I,T,Ｔ,ティー,記号-文字,ティー,24900
,I,F,Ｆ,エフ,記号-文字,エフ,3997
,I,値,値,チ,接尾辞-名詞的-一般,チ,23383
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,ごと,毎,ゴト,接尾辞-名詞的-一般,ゴト,13517
,I,，,，,,補助記号-読点,,50
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,ごと,毎,ゴト,接尾辞-名詞的-一般,ゴト,13517
,I,に,に,ニ,助詞-格助詞,ニ,28178
,I,存在,存在,ソンザイ,名詞-普通名詞-サ変可能,ソンザイ,21491
,I,する,為る,スル,動詞-非自立可能,スル,19537
,I,ため,為,タメ,名詞-普通名詞-副詞可能,タメ,22686
,I,，,，,,補助記号-読点,,50
,I,同じ,同じ,オナジ,連体詞,オナジ,5118
,I,単語,単語,タンゴ,名詞-普通名詞-一般,タンゴ,22806
,I,で,だ,ダ,助動詞,ダ,22916
,I,あっ,有る,アル,動詞-非自立可能,アル,1216
,I,て,て,テ,助詞-接続助詞,テ,24874
,I,も,も,モ,助詞-係助詞,モ,37562
,I,文書,文書,ブンショ,名詞-普通名詞-一般,ブンショ,33593
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,異なる,異なる,コトナル,動詞-一般,コトナル,12854
,I,場合,場合,バアイ,名詞-普通名詞-副詞可能,バアイ,30510
,I,は,は,ハ,助詞-係助詞,ハ,29321
,I,，,，,,補助記号-読点,,50
,I,値,値,アタイ,名詞-普通名詞-サ変可能,アタイ,724
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,異なる,異なる,コトナル,動詞-一般,コトナル,12854
,I,可能,可能,カノウ,形状詞-一般,カノウ,6969
,I,性,性,セイ,接尾辞-名詞的-一般,セイ,19682
,I,が,が,ガ,助詞-格助詞,ガ,7889
,I,ある,有る,アル,動詞-非自立可能,アル,1216
,I,．,．,,補助記号-句点,,51
,B,:n:t,Ｔ,ティー,記号-文字,ティー,24900
,B,f,,,名詞,,　
,B,(,（,,補助記号-括弧開,,46
,B,t,Ｔ,ティー,記号-文字,ティー,24900
,B,i,Ｉ,アイ,記号-文字,アイ,81
,B,,,,,名詞,,　
,B,d,Ｄ,ディー,記号-文字,ディー,25577
,B,j,Ｊ,ジェー,記号-文字,ジェー,17726
,B,),）,,補助記号-括弧閉,,49
,B,=,＝,,補助記号-一般,,55
,B,文,文,ブン,名詞-普通名詞-一般,ブン,33545
,B,書,書,ショ,名詞-普通名詞-一般,ショ,16524
,B,d,Ｄ,ディー,記号-文字,ディー,25577
,B,j,Ｊ,ジェー,記号-文字,ジェー,17726
,B,内,内,ウチ,名詞-普通名詞-副詞可能,ウチ,3206
,B,の,の,ノ,助詞-格助詞,ノ,28989
